,X,YYYY.MM.DD,HH.mm.SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
4242,208,7/28/50,25:28.2,le,4.59,l,33.087,-115.487,6,D,3344228,16,0
4253,219,7/28/50,26:46.6,le,4.56,l,33.26,-115.505,6,D,3344238,16,0
4254,220,7/28/50,30:00.0,le,4.1,h,33,-115.5,6,Z,10086222,0,0
4255,221,7/28/50,50:46.3,le,5.33,l,33.089,-115.448,6,D,3344239,14,0
4256,222,7/28/50,58:08.7,le,4.7,l,32.902,-115.54,6,C,3344240,12,0
4257,223,7/28/50,16:30.2,le,4.06,l,33.045,-115.706,6,C,3344241,18,0
4259,225,7/28/50,48:59.5,le,4.02,l,33.077,-115.562,6,D,3344243,20,0
4260,226,7/28/50,12:48.6,le,4.04,l,33.045,-115.462,6,D,3344244,13,0
4264,230,7/29/50,17:07.6,le,4.3,l,33.056,-115.623,6,C,3344248,17,0
4268,234,7/29/50,36:31.9,le,5.42,l,33.088,-115.664,6,D,3344251,17,0
4271,237,7/29/50,08:56.7,le,4.3,l,33.194,-115.624,6,C,3344253,15,0
4278,244,7/29/50,14:12.3,le,4.16,l,33.12,-115.597,6,D,3342545,16,0
4279,245,7/29/50,42:43.2,le,4.49,l,33.13,-115.54,6,D,3342544,13,0
4285,251,8/1/50,37:21.3,le,4.7,l,33.215,-115.724,6,D,3342844,18,0
4290,256,8/12/50,17:16.7,le,4.08,l,34.316,-116.805,6,C,3343020,25,0
4303,269,8/22/50,47:58.0,le,4.11,l,34.12,-119.44,6,C,3344084,30,0
4329,295,8/28/50,45:26.3,le,4.02,l,34.32,-116.815,6,C,3344118,25,0
4335,301,8/30/50,59:06.6,le,4.07,l,35.024,-116.885,6,C,3344129,24,0
4338,304,9/5/50,19:56.8,le,4.76,l,33.726,-116.697,6.4,B,3344132,24,0
4355,321,9/17/50,43:28.3,le,4.21,l,32.138,-116.691,6,D,3323098,24,0
4432,398,11/6/50,55:44.7,le,4.34,l,32.623,-117.946,6,C,3342249,24,0
4497,463,12/7/50,04:49.8,re,4.11,l,32.081,-114.758,6,C,3342361,19,0
4520,486,12/14/50,56:20.6,le,4.27,l,35.232,-119.08,6,D,3342405,17,0
4550,8,1/24/51,16:52.6,le,5.95,l,32.622,-115.119,6,C,3322622,21,0
4570,28,2/13/51,16:01.0,le,4.08,l,32.867,-115.773,6,D,3322666,16,0
4572,30,2/13/51,46:34.3,le,4.02,l,32.575,-115.748,6,C,3322671,9,0
4573,31,2/15/51,48:00.2,le,4.71,l,33.482,-116.601,3.4,C,3322675,20,0
4574,32,2/15/51,49:57.2,le,4.58,l,33.452,-116.489,6,C,3322677,10,0
4581,39,3/4/51,31:01.2,re,4.27,h,34.75,-121.75,6,D,10086274,10,0
4595,53,3/29/51,39:30.2,le,4.3,l,33.276,-116.124,6,D,3322585,26,0
4643,101,6/25/51,45:41.2,le,4.42,l,35.735,-117.956,2.5,B,3322408,22,0
4644,102,6/26/51,26:39.2,le,4.18,l,35.75,-117.927,0,C,3322409,23,0
4680,138,8/10/51,30:06.4,le,4.26,l,33.077,-115.646,6,D,3322294,20,0
4710,168,9/2/51,27:45.4,le,4.69,l,32.02,-117.275,6,D,3322379,20,0
4719,177,9/22/51,22:38.9,le,4.14,l,34.137,-117.331,11.1,A,3322256,25,0
4746,204,11/14/51,54:59.6,le,4.07,l,32.797,-116.106,6,C,3322214,20,0
4764,222,12/5/51,53:17.1,le,4.34,l,33.067,-115.688,6,D,3322240,22,0
4784,242,12/26/51,46:54.4,le,5.75,l,32.916,-118.305,6,C,3322187,22,0
