DEPTH,ET,EVID,HH:mm:SS.ss,LAT,LON,M,MAG,NGRM,NPH,Q,YYYY/MM/DD
10.4,le,9518534.0,17:25:22.96,35.93199999999999,-117.759,h,1.2,0.0,13.0,A,1999/06/12
1.6,le,9127562.0,22:17:45.25,34.689,-116.304,c,3.11,0.0,10.0,A,1999/12/06
0.0,le,9084795.0,22:42:24.32,33.988,-116.409,l,2.12,0.0,37.0,A,1999/04/26
1.5,le,3325988.0,17:50:07.90,34.854,-116.405,h,2.0,0.0,12.0,A,1999/10/21
3.9,le,9102423.0,14:15:08.98,35.73,-118.469,c,1.98,0.0,21.0,A,1999/08/24
0.0,le,9087408.0,02:04:59.25,34.029,-116.353,c,1.73,0.0,18.0,A,1999/05/16
1.5,le,9129287.0,13:43:55.56,34.567,-116.266,c,1.79,0.0,14.0,A,1999/12/16
0.0,qb,9084192.0,19:15:47.36,35.036,-117.684,c,1.65,0.0,7.0,C,1999/04/20
14.3,le,9079327.0,21:01:02.21,33.59,-116.921,h,0.7,0.0,9.0,A,1999/02/26
0.2,le,9116407.0,23:14:51.26,34.693000000000005,-116.294,h,1.7,0.0,11.0,C,1999/10/25
2.1,le,3324722.0,14:56:45.81,36.036,-117.763,h,1.0,0.0,9.0,A,1999/11/11
5.1,le,9103976.0,15:15:00.93,36.023,-117.878,c,1.17,0.0,10.0,A,1999/09/05
6.0,le,9101842.0,15:10:29.88,32.076,-114.633,c,2.44,0.0,8.0,D,1999/08/20
3.4,le,9078721.0,14:04:13.31,34.201,-116.826,l,2.06,0.0,41.0,A,1999/02/19
6.0,le,9088759.0,13:27:46.88,33.111999999999995,-116.044,c,1.73,0.0,27.0,C,1999/05/23
6.0,le,9077040.0,06:59:42.15,33.178000000000004,-115.98,h,1.3,0.0,10.0,C,1999/01/29
6.0,le,9094045.0,18:18:32.12,34.022,-118.316,h,1.3,0.0,8.0,C,1999/06/29
0.0,qb,9076326.0,20:17:40.26,35.038000000000004,-117.685,n,1.6,0.0,9.0,C,1999/01/19
4.0,le,9128025.0,06:15:57.99,34.584,-116.267,h,1.7,0.0,14.0,A,1999/12/09
11.3,le,9098397.0,14:24:13.39,33.851,-117.014,c,1.91,0.0,33.0,A,1999/07/31
2.1,le,3330655.0,12:05:52.16,34.571,-116.287,h,1.9,0.0,13.0,A,1999/10/20
0.0,qb,9075353.0,18:09:39.74,33.067,-114.946,n,1.8,0.0,4.0,C,1999/01/07
6.2,le,9129735.0,19:43:59.67,34.58,-116.245,h,1.8,0.0,21.0,C,1999/12/18
8.1,le,9079101.0,15:17:47.38,36.107,-117.581,c,1.27,0.0,11.0,C,1999/02/24
4.1,le,9077402.0,22:00:22.84,34.086,-117.428,c,1.48,0.0,11.0,A,1999/02/02
10.3,le,9123181.0,13:43:30.68,34.641,-116.33,l,1.1,0.0,20.0,B,1999/11/16
1.2,le,9110534.0,12:57:17.75,34.693000000000005,-116.304,l,2.5,0.0,18.0,A,1999/10/17
7.0,le,9124295.0,22:52:32.58,34.441,-116.268,l,2.07,0.0,24.0,A,1999/11/20
5.2,le,9096036.0,07:38:10.75,35.98900000000001,-117.863,c,1.28,0.0,11.0,A,1999/07/15
2.4,le,9126717.0,12:41:47.36,34.874,-116.328,h,1.3,0.0,13.0,A,1999/12/02
8.9,le,9108521.0,12:23:58.78,34.359,-119.288,h,1.5,0.0,13.0,B,1999/10/15
11.2,le,9125184.0,15:57:13.94,33.944,-117.233,c,1.39,0.0,17.0,B,1999/11/25
6.0,le,9113532.0,10:27:12.47,34.584,-116.301,h,1.6,0.0,10.0,C,1999/10/20
5.0,le,7134533.0,03:34:32.29,35.89,-117.703,h,1.0,0.0,12.0,A,1999/06/19
6.0,le,9104125.0,12:53:30.45,32.111999999999995,-114.61,c,2.27,0.0,6.0,D,1999/09/07
0.0,qb,9098960.0,19:05:02.15,34.635,-117.127,c,1.85,0.0,8.0,C,1999/08/02
0.0,qb,9078087.0,20:34:35.39,35.036,-117.683,n,1.5,0.0,8.0,C,1999/02/12
0.0,le,9100759.0,13:10:10.54,33.797,-116.141,c,1.23,0.0,21.0,B,1999/08/14
3.1,le,9097595.0,12:58:07.21,33.33,-115.702,l,2.04,0.0,16.0,A,1999/07/26
0.0,qb,9080110.0,22:32:37.31,35.354,-117.637,c,1.77,0.0,7.0,C,1999/03/08
2.6,le,9118717.0,21:23:15.74,34.681999999999995,-116.296,c,1.97,0.0,14.0,B,1999/10/31
6.0,le,9103298.0,05:29:38.62,33.483000000000004,-116.502,l,1.72,0.0,19.0,C,1999/08/30
0.4,qb,9107316.0,21:12:30.55,35.366,-117.65,c,1.83,0.0,13.0,B,1999/10/05
0.0,qb,9091522.0,21:18:53.36,34.635,-117.126,c,1.67,0.0,10.0,C,1999/06/11
0.9,le,9080965.0,22:25:07.81,35.912,-117.706,l,1.44,0.0,14.0,A,1999/03/17
9.3,le,9075643.0,13:54:18.15,34.192,-116.83,c,1.55,0.0,25.0,B,1999/01/11
4.4,le,9121296.0,08:37:15.54,34.789,-116.296,h,1.5,0.0,8.0,A,1999/11/09
6.0,le,9120002.0,22:02:58.24,33.479,-116.555,c,1.98,0.0,15.0,C,1999/11/04
0.0,qb,9092436.0,18:44:48.38,35.337,-117.642,n,1.5,0.0,7.0,C,1999/06/17
4.1,le,3326778.0,23:29:33.16,34.687,-116.293,h,1.8,0.0,18.0,A,1999/10/19
6.0,le,9126234.0,12:13:11.16,34.026,-117.172,h,1.4,0.0,11.0,C,1999/11/30
4.4,le,9098381.0,10:36:45.06,33.262,-116.001,l,2.94,0.0,56.0,A,1999/07/31
6.9,le,9126232.0,12:03:11.68,34.838,-116.405,h,1.6,0.0,14.0,A,1999/11/30
3.2,le,9112926.0,17:12:07.48,34.842,-116.338,l,2.42,0.0,14.0,A,1999/10/19
6.3,le,9590916.0,21:23:37.14,32.596,-116.15,l,2.69,0.0,45.0,A,1999/10/18
4.5,le,9106922.0,17:49:37.46,36.2,-117.881,c,1.57,0.0,13.0,C,1999/10/02
2.8,le,3328924.0,06:13:52.64,34.824,-116.334,h,1.7,0.0,6.0,B,1999/10/19
17.3,le,9096512.0,18:04:15.94,33.699,-116.852,c,1.48,0.0,19.0,A,1999/07/18
1.5,le,9095805.0,07:10:40.85,36.01300000000001,-117.803,c,1.11,0.0,9.0,B,1999/07/13
8.5,le,7134531.0,03:11:44.04,34.969,-117.028,c,1.75,0.0,27.0,A,1999/06/19
0.0,qb,9106726.0,21:51:28.07,35.353,-117.656,c,1.84,0.0,9.0,C,1999/09/30
0.0,le,9109112.0,15:49:42.43,34.552,-116.273,l,2.97,0.0,22.0,A,1999/10/16
5.1,le,9121198.0,00:02:24.45,34.857,-116.35,h,1.6,0.0,16.0,A,1999/11/09
4.3,le,9123008.0,19:08:51.24,34.871,-116.396,h,1.8,0.0,11.0,A,1999/11/15
5.0,le,9125250.0,22:35:11.52,34.799,-116.285,l,1.97,0.0,19.0,A,1999/11/25
6.0,le,9078481.0,04:06:37.01,34.342,-118.437,l,2.32,0.0,59.0,C,1999/02/18
13.2,le,9100825.0,22:13:58.76,32.781,-115.435,l,2.29,0.0,20.0,A,1999/08/14
4.8,le,9086839.0,18:11:26.80,34.039,-116.354,c,1.36,0.0,8.0,A,1999/05/14
6.0,le,9122287.0,19:54:22.52,32.429,-115.329,c,2.04,0.0,10.0,D,1999/11/12
6.0,le,9100256.0,21:24:43.40,36.285,-118.347,c,1.66,0.0,10.0,C,1999/08/12
0.6,le,3321043.0,02:09:43.41,34.361999999999995,-116.143,l,3.36,0.0,28.0,A,1999/10/17
4.0,le,9122566.0,00:22:18.70,34.568000000000005,-116.263,l,2.09,0.0,11.0,A,1999/11/14
7.3,le,9130757.0,07:53:48.65,34.431,-116.199,h,1.5,0.0,11.0,B,1999/12/25
6.0,le,3321032.0,03:15:50.62,34.831,-116.344,h,1.2,0.0,5.0,D,1999/10/25
7.0,le,9116875.0,21:57:15.50,34.477,-116.257,h,1.8,0.0,12.0,B,1999/10/26
6.6,le,9130396.0,09:48:47.64,34.79,-116.296,h,1.7,0.0,8.0,C,1999/12/23
3.9,le,9122601.0,04:21:21.90,34.836,-116.403,h,1.7,0.0,8.0,A,1999/11/14
1.1,le,9123081.0,01:57:05.08,34.957,-116.436,l,2.5,0.0,24.0,A,1999/11/16
18.0,le,9105348.0,13:46:02.79,33.338,-116.195,l,2.06,0.0,21.0,C,1999/09/17
0.0,qb,9097314.0,19:08:48.56,35.037,-117.671,c,1.62,0.0,10.0,C,1999/07/24
14.9,le,9099043.0,11:45:37.09,34.783,-116.602,h,1.1,0.0,8.0,B,1999/08/03
5.6,le,9614976.0,22:35:25.92,34.571,-116.254,l,2.33,0.0,42.0,C,1999/10/20
5.8,le,9082063.0,18:20:14.66,34.324,-116.842,l,2.41,0.0,56.0,A,1999/03/29
18.5,le,9080030.0,22:49:20.10,34.017,-117.149,l,1.65,0.0,33.0,A,1999/03/07
1.8,le,9124222.0,16:13:26.53,34.484,-116.261,c,1.61,0.0,15.0,A,1999/11/20
3.7,le,3320855.0,13:47:01.14,33.043,-115.568,l,3.0,0.0,29.0,A,1999/10/19
3.7,le,9126484.0,11:22:59.95,34.708,-116.296,l,2.22,0.0,29.0,A,1999/12/01
5.5,le,9125555.0,07:45:49.21,34.422,-116.189,l,2.04,0.0,31.0,A,1999/11/27
1.8,le,9117908.0,11:05:38.25,36.092,-117.85,c,1.74,0.0,18.0,A,1999/10/29
0.0,qb,9078285.0,21:48:27.30,34.63,-117.121,c,1.92,0.0,20.0,C,1999/02/15
6.0,le,9091046.0,11:24:11.64,33.282,-116.256,c,1.93,0.0,22.0,C,1999/06/07
6.0,le,9083722.0,01:39:51.09,34.352,-116.463,l,1.98,0.0,23.0,C,1999/04/16
6.3,le,9107551.0,19:51:16.55,35.751,-117.645,c,0.91,0.0,9.0,C,1999/10/08
3.8,le,9106449.0,10:12:39.28,34.704,-116.684,h,1.4,0.0,8.0,B,1999/09/28
4.5,le,9119791.0,07:00:48.85,34.318000000000005,-116.466,c,2.1,0.0,28.0,A,1999/11/04
17.2,le,9084640.0,02:55:48.16,34.372,-118.748,h,1.0,0.0,10.0,A,1999/04/25
4.0,le,9094749.0,12:23:07.70,35.702,-118.457,c,1.32,0.0,19.0,A,1999/07/05
0.2,le,9113233.0,00:11:28.47,34.57,-116.294,l,2.47,0.0,25.0,A,1999/10/20
5.7,le,9095554.0,21:48:16.98,35.735,-118.489,l,2.53,0.0,41.0,B,1999/07/11
2.7,le,9111312.0,04:53:28.86,34.622,-116.3,l,2.65,0.0,22.0,A,1999/10/18
3.3,le,9093932.0,06:06:02.82,32.581,-116.167,l,3.07,0.0,42.0,A,1999/06/29
1.5,le,9126134.0,00:20:09.96,34.583,-116.272,l,2.44,0.0,29.0,A,1999/11/30
9.7,le,9083528.0,23:43:58.92,32.608000000000004,-116.141,h,0.8,0.0,10.0,B,1999/04/14
0.0,qb,9096995.0,19:06:05.93,35.041,-117.691,c,1.82,0.0,20.0,C,1999/07/22
12.5,le,9120529.0,13:41:44.01,34.71,-116.351,h,1.4,0.0,8.0,B,1999/11/06
10.8,le,9126476.0,10:15:38.04,34.585,-116.283,h,1.6,0.0,12.0,B,1999/12/01
13.2,le,9121368.0,14:32:32.35,32.742,-115.503,l,2.25,0.0,15.0,B,1999/11/09
0.0,le,9110439.0,12:13:58.14,34.478,-116.254,l,3.48,0.0,64.0,A,1999/10/17
6.0,le,9120537.0,15:06:51.05,34.385,-116.585,c,1.36,0.0,7.0,C,1999/11/06
2.6,le,9112651.0,10:19:00.74,34.265,-116.448,c,1.76,0.0,11.0,A,1999/10/19
6.0,le,9117017.0,04:39:11.70,34.643,-116.285,c,2.23,0.0,16.0,C,1999/10/27
8.4,le,9080479.0,06:23:12.35,34.332,-116.842,c,1.17,0.0,13.0,A,1999/03/13
11.8,le,9129496.0,12:02:41.76,34.657,-116.278,h,1.7,0.0,16.0,C,1999/12/17
